Board_State,Optimal_Moves
X  O XXO ,2 4
X  O X OX,
X  O X O ,2 8
X  O XX O,1 2 4
X  O X XO,1 2 4
X  O X  O,1 2 4 6 7
X  O X   ,2 8
X  OO XXO,5
X  OO XX ,5
X  OO XOX,
X  OO X X,5
X  OO X  ,5
X  O OXXO,
X  O OXX ,4
X  O OXOX,4
X  O OX X,4
X  O OX  ,4
X  O  XOX,4
X  O  XO ,2 4
X  O  XXO,5
X  O  X O,2
X  O  X  ,4
X  OO OXX,
X  OO  XX,5
X  OO  X ,5
X  O OOXX,4
X  O O XX,4
X  O O X ,4
X  O  OXX,4
X  O  OX ,1 4
X  O   XO,1
X  O   X ,4
X  OO   X,5
X  O O  X,4
X  O  O X,4
X  O   OX,4
X  O    X,4
X  O     ,1 2 4
XX XOOOXO,2
XX XOOOX ,2
XX XOOOOX,2
XX XOOO X,2
XX XOOO  ,2
XX XOO OX,
XX XOO O ,2 6
XX XOO XO,2
XX XOO  O,2 6
XX XOO   ,
XX  OOXOX,3
XX  OOXO ,2 3
XX  OOXXO,2 3
XX  OOX O,2 3
XX  OOX  ,3
XX  OOOXX,2 3
XX  OOOX ,2
XX  OO XO,2
XX  OO X ,3
XX  OOO X,2
XX  OO OX,2
XX  OO  X,3
XX  OO   ,2
XX XOXOO ,2 8
XX XO OOX,2
XX XO OO ,2
XX XOXO O,2 7
XX XO OXO,2
XX XO O O,2
XX XO O  ,2
XX  OXOOX,2
XX  OXOO ,2
XX  OXOXO,2
XX  OXO O,2
XX  OXO  ,2
XX  O OXO,2
XX  O OX ,2
XX  O OOX,2
XX  O O X,2
XX  O O  ,2
XX XOX OO,6
XX XO  OO,2 6
XX XO  O ,
XX  OXXOO,
XX  OX OO,2
XX  OX O ,2
XX  O XOO,2 3
XX  O XO ,
XX  O  OX,2
XX  O  O ,2
XX XO   O,
XX  OX  O,2
XX  O X O,
XX  O  XO,2
XX  O   O,2
XX  O    ,2
X XXOOOXO,1
X XXOOOX ,1
X XXOOOOX,1
X XXOOO X,1
X XXOOO  ,1
X XXOO OX,1
X XXOO O ,1 6
X XXOO XO,
X XXOO  O,1 6
X XXOO   ,
X X OOXOX,1 3
X X OOXO ,1 3
X X OOXXO,3
X X OOX O,1 3
X X OOX  ,3
X X OOOXX,3
X X OOOX ,1
X X OO XO,1
X X OO X ,3
X X OOO X,1
X X OO OX,1
X X OO  X,3
X X OO   ,1
X XXOXOO ,1 8
X XXO OOX,1
X XXO OO ,1
X XXOXO O,7
X XXO OXO,1
X XXO O O,1
X XXO O  ,1
X X OXOO ,1 8
X X OXOXO,1
X X OXO O,1
X X OXO  ,
X X O OXO,1
X X O OX ,1
X X O OOX,1 5
X X O O X,
X X O O  ,1
X XXOX OO,1 6
X XXO  OO,1 6
X XXO  O ,1
X X OXXOO,1
X X OX OO,1
X X OX O ,1
X X O XOO,1 3
X X O XO ,1
X X O  OX,1
X X O  O ,1
X XXO   O,
X X OX  O,1
X X O X O,
X X O  XO,1
X X O   O,1
X X O    ,1
X  XOOOXX,2
X  XOOOX ,2
X  XOO XO,6
X  XOO X ,6
X  XOOO X,2
X  XOO OX,6
X  XOO  X,6
X  XOO   ,6
X  XOXOOX,1 2
X  XOXOO ,
X  XOXOXO,2
X  XOXO O,
X  XOXO  ,2
X  XO OXO,2
X  XO OX ,2
X  XO OOX,
X  XO O X,2
X  XO O  ,2
X  XOX OO,6
X  XOX O ,1
X  XO  OX,1
X  XO  O ,6
X  XOX  O,6
X  XO  XO,6
X  XO   O,6
X  XO    ,6
X   OXOXO,2
X   OXOX ,2
X   OXOOX,2
X   OXO X,2
X   OXO  ,2
X   OXXOO,3
X   OXXO ,1
X   OX OX,1
X   OX O ,1
X   OXX O,3
X   OX XO,1 2 3 6
X   OX  O,1 2 6 7
X   OX   ,1 2 7 8
X   OOXXO,3
X   OOXX ,3
X   OOXOX,3
X   OOX X,3
X   OOX  ,3
X   O XOX,1
X   O XO ,3
X   O XXO,3
X   O X O,3
X   O X  ,3
X   OOOXX,
X   OO XX,3
X   OO X ,3
X   O OXX,2
X   O OX ,2
X   O  XO,2 3 5 6
X   O  X ,3 5 6 8
X   OO  X,3
X   O O X,2
X   O  OX,1
X   O   X,1 3 5 7
X   O    ,1 2 3 5 6 7 8
XX XXOOO ,8
XX X OOOX,
XX X OOO ,2
XX XXOO O,2 7
XX X OOXO,2
XX X OO O,2
XX X OO  ,2
XX  XOOO ,2 8
XX  XOO O,2 7
XX  XOO  ,
XX   OOXO,2 4
XX   OOX ,
XX   OOOX,2 4
XX   OO X,
XX   OO  ,2
XX XXO OO,2 6
XX X O OO,2 6
XX X O O ,
XX  XOXOO,2
XX  XO OO,2
XX  XO O ,
XX   OXOO,2 3
XX   OXO ,
XX   O OX,
XX   O O ,2
XX X O  O,2
