Board_State,Win_Moves,Draw_Moves,Lose_Moves
OOXXX OX ,,5,8
OOXXX OOX,5,,
OOXXX O X,,5,7
OOXXX O  ,5,7 8,
OOXXX  OX,,,5 6
OOXXX  O ,5 6 8,,
OOXXX  XO,,,5 6
OOXXX   O,5 6 7,,
OOXXX    ,,,5 6 7 8
OOXXOXX  ,7 8,,
OOXXOXOX ,8,,
OOXXOX X ,8,,6
OOXXOX   ,8,,6 7
OOXX XOXO,4,,
OOXX XOX ,,,4 8
OOXX XO  ,4 7 8,,
OOXX XXOO,4,,
OOXX XXO ,4,,8
OOXX X O ,4 8,,6
OOXX XX O,4,,7
OOXX X XO,4,,6
OOXX X  O,4,,6 7
OOXX X   ,,,4 6 7 8
OOXXOOXX ,8,,
OOXXO XX ,8,,5
OOXXOOX X,7,,
OOXXO X X,7,,5
OOXXO X  ,,,5 7 8
OOXX OXXO,4,,
OOXX OXX ,,,4 8
OOXX OXOX,4,,
OOXX OX X,,,4 7
OOXX OX  ,4 7 8,,
OOXX  XOX,4,,5
OOXX  XO ,4,,5 8
OOXX  XXO,4,,5
OOXX  X O,4,,5 7
OOXX  X  ,4,,5 7 8
OOXXOO XX,6,,
OOXXO OXX,5,,
OOXXO  XX,,,5 6
OOXXO  X ,8,,5 6
OOXX OOXX,,4,
OOXX O XX,,6,4
OOXX O X ,6,4 8,
OOXX  OXX,,5,4
OOXX  OX ,5,4 8,
OOXX   XO,4,,5 6
OOXX   X ,,,4 5 6 8
OOXXO   X,5 7,,6
OOXX O  X,6,4 7,
OOXX  O X,5,4 7,
OOXX   OX,4 5,,6
OOXX    X,,,4 5 6 7
OOXX     ,4 5 7 8,,6
O XXOXOX ,8,,1
O XXOXO  ,8,,1 7
O XXOXXO ,1 8,,
O XXOX O ,8,,1 6
O XXOX   ,8,,1 6 7
O XXOOXX ,8,,1
O XXOOXOX,,1,
O XXOOX X,,7,1
O XXOOX  ,,8,1 7
O XXO XOX,1,5,
O XXO XO ,,,1 5 8
O XXO X  ,1 7 8,5,
O XXOOOXX,,1,
O XXOO XX,,6,1
O XXOO X ,,8,1 6
O XXO OXX,,5,1
O XXO OX ,,8,1 5
O XXO  X ,8,5 6,1
O XXOO  X,,1 6 7,
O XXO O X,5,1 7,
O XXO  OX,5,1,6
O XXO   X,,5,1 6 7
O XXO    ,,8,1 5 6 7
O XXXOOXO,1,,
O XXXOOX ,,1,8
O XXXOOOX,,1,
O XXXOO X,,1 7,
O XXXOO  ,,1 7 8,
O XXXO OX,,6,1
O XXXO O ,6,1 8,
O XXXO XO,,,1 6
O XXXO  O,1 6 7,,
O XXXO   ,,6,1 7 8
O XX OXOX,,4,1
O XX OXO ,4,1 8,
O XX OXXO,4,,1
O XX OX O,4,,1 7
O XX OX  ,,4,1 7 8
O XX OOXX,,1 4,
O XX OOX ,,1 4 8,
O XX O XO,4,,1 6
O XX O X ,,4 6,1 8
O XX OO X,,1 4 7,
O XX O OX,,1 4 6,
O XX O  X,,4 6 7,1
O XX O   ,,1 4 6 7 8,
O XXX OOX,,5,1
O XXX OO ,5,8,1
O XXX OXO,,,1 5
O XXX O O,5 7,,1
O XXX O  ,,5,1 7 8
O XX XOO ,4 8,,1
O XX XOXO,4,,1
O XX XO O,4,,1 7
O XX XO  ,,,1 4 7 8
O XX  OXO,4,,1 5
O XX  OX ,,4 5,1 8
O XX  OOX,5,1 4,
O XX  O X,,5,1 4 7
O XX  O  ,5,4 7 8,1
O XXX  OO,5 6,,1
O XXX  O ,,,1 5 6 8
O XX XXOO,4,,1
O XX X OO,4,,1 6
O XX X O ,,,1 4 6 8
O XX  XOO,4,,1 5
O XX  XO ,4,,1 5 8
O XX   OX,,5,1 4 6
O XX   O ,4 5,8,1 6
O XXX   O,,,1 5 6 7
O XX X  O,4,,1 6 7
O XX  X O,4,,1 5 7
O XX   XO,4,,1 5 6
O XX    O,4,,1 5 6 7
O XX     ,,4 5,1 6 7 8
OOXOXX XO,6,,
OOXOXX X ,6,,8
OOXOXX   ,6 8,,7
OOX XXOXO,3,,
OOX XXOX ,3,,8
OOX XXO  ,3 8,,7
OOX XX O ,3 6 8,,
OOX XX XO,,,3 6
OOX XX  O,3 6 7,,
OOX XX   ,,,3 6 7 8
OOXOXO XX,6,,
OOXOX  XX,6,,5
OOXOX  X ,6,,5 8
OOX XOOXX,,3,
OOX XO XX,,6,3
OOX XO X ,6,3 8,
OOX X OXX,3,5,
OOX X OX ,,3,5 8
OOX X  XO,3 5 6,,
OOX X  X ,,6,3 5 8
OOXOX   X,5 6,,7
OOX XO  X,6,3 7,
OOX X O X,5,3,7
OOX X  OX,3 5 6,,
OOX X   X,,,3 5 6 7
OOX X    ,3 5 6 8,7,
O XOXX O ,6 8,,1
O XOXX XO,6,,1
O XOXX  O,6,,1 7
O XOXX   ,6,,1 7 8
O XOXO XX,6,,1
O XOXO X ,1 6,,8
O XOX  XO,1 6,,5
O XOX  X ,6,,1 5 8
O XOXO  X,6,,1 7
O XOX  OX,5 6,,1
O XOX   X,6,,1 5 7
O XOX    ,6,,1 5 7 8
O X XOOXX,3,1,
O X XOOX ,1,3,8
O X XO XO,1 3 6,,
O X XO X ,,,1 3 6 8
O X XOO X,,3,1 7
O X XO OX,6,1 3,
O X XO  X,,6,1 3 7
O X XO   ,1 6 7,3 8,
O X XXOO ,3 8,,1
O X XXOXO,3,,1
O X XXO O,3,,1 7
O X XXO  ,3,,1 7 8
O X X OXO,1 3,,5
O X X OX ,3,1,5 8
O X X OOX,5,3,1
O X X O X,3,5,1 7
O X X O  ,,3,1 5 7 8
O X XX OO,3 6,,1
O X XX O ,,,1 3 6 8
O X X  OX,,,1 3 5 6
O X X  O ,3 5 6 8,,1
O X XX  O,,,1 3 6 7
O X X  XO,,,1 3 5 6
O X X   O,1 3 5 6 7,,
O X X    ,,6,1 3 5 7 8
OOXOOXXX ,8,,
OOXO XXXO,4,,
OOXO XXX ,,,4 8
OOXO XX  ,4 7 8,,
OOX OXXX ,8,,3
OOX OXX  ,8,,3 7
OOX  XXO ,4 8,,3
OOX  XXXO,4,,3
OOX  XX O,4,,3 7
OOX  XX  ,,,3 4 7 8
OOXO X X ,6 8,,4
OOX OX X ,8,,3 6
OOX  XOX ,3 8,,4
OOX  X XO,4,,3 6
OOX  X X ,,,3 4 6 8
OOX  X   ,3 4 6 7 8,,
O XOOXXX ,8,,1
O XOOXX  ,8,,1 7
O XO XXO ,1 4 8,,
O XO XXXO,4,,1
O XO XX O,4,,1 7
O XO XX  ,,,1 4 7 8
O XOOX X ,8,,1 6
O XO X XO,,,1 4 6
O XO X X ,6 8,,1 4
O XO X   ,6 8,,1 4 7
O X OXXO ,8,,1 3
O X OXX  ,8,,1 3 7
O X OXOX ,8,,1 3
O X OX X ,8,,1 3 6
O X OX   ,8,,1 3 6 7
O X  XOXO,,,1 3 4
O X  XOX ,3 8,,1 4
O X  XO  ,3 8,,1 4 7
O X  XXOO,4,,1 3
O X  XXO ,,,1 3 4 8
O X  X O ,3 4 6 8,,1
O X  XX O,4,,1 3 7
O X  X XO,3 4 6,,1
O X  X  O,4,,1 3 6 7
O X  X   ,,,1 3 4 6 7 8
OOXO  XX ,4 5 8,,
OOX O XX ,8,,3 5
OOX  OXX ,3 4 8,,
OOX   XXO,4,,3 5
OOX   XX ,,,3 4 5 8
OOXO  X X,4 5 7,,
OOX O X X,5 7,,3
OOX  OX X,3 4 7,,
OOX   XOX,4 5,,3
OOX   X X,,,3 4 5 7
OOX   X  ,4 5 7 8,,3
O XOO XX ,8,,1 5
O XO OXX ,4 8,,1
O XO  XXO,4,,1 5
O XO  XX ,,,1 4 5 8
O XOO X X,5 7,,1
O XO OX X,4 7,,1
O XO  XOX,1 4 5,,
O XO  X X,,,1 4 5 7
O XO  X  ,4 5 7 8,,1
O X OOXX ,8,,1 3
O X O XX ,8,,1 3 5
O X OOX X,7,3,1
O X O XOX,5,1,3
O X O X X,,,1 3 5 7
O X O X  ,8,,1 3 5 7
O X  OXXO,4,,1 3
O X  OXX ,,,1 3 4 8
O X  OXOX,4,1 3,
O X  OX X,,,1 3 4 7
O X  OX  ,4 7 8,3,1
O X   XOX,,,1 3 4 5
O X   XO ,4 5 8,1,3
O X   XXO,4,,1 3 5
O X   X O,4,,1 3 5 7
O X   X  ,,,1 3 4 5 7 8
OOXO   XX,5 6,,4
OOX O  XX,3 5 6,,
OOX  O XX,6,3 4,
OOX   OXX,5,3,4
OOX    XX,,,3 4 5 6
OOX    X ,3 5 6 8,4,
O XOO  XX,5 6,,1
O XO O XX,6,,1 4
O XO   XX,6,,1 4 5
O XO   X ,6,,1 4 5 8
O X OO XX,6,3,1
O X O OXX,5,3,1
O X O  XX,,,1 3 5 6
O X O  X ,8,,1 3 5 6
O X  OOXX,,3,1 4
O X  O XX,,6,1 3 4
O X  O X ,4 6,3 8,1
O X   OXX,3,5,1 4
O X   OX ,,3,1 4 5 8
O X    XO,4,,1 3 5 6
O X    X ,,6,1 3 4 5 8
OOX     X,3 4 5 6 7,,
O XO    X,5 6,,1 4 7
O X O   X,5 6 7,1 3,
O X  O  X,6,3 4 7,1
O X   O X,5,3,1 4 7
O X    OX,4 5 6,1 3,
O X     X,,,1 3 4 5 6 7
O X      ,5 6 8,3 4 7,1
 OXXOXOXO,,0,
 OXXOXOX ,,8,0
 OXXOXO  ,8,7,0
 OXXOXX O,0 7,,
 OXXOX XO,0,6,
 OXXOX  O,,,0 6 7
 OXXOX   ,7 8,,0 6
 OXXOOXXO,0,,
 OXXOOXX ,,,0 8
 OXXOOX X,7,,0
 OXXOOX  ,0 7,,8
 OXXO XXO,0,,5
 OXXO X O,0,,5 7
 OXXO X  ,0 7,,5 8
 OXXOOOXX,,0,
 OXXOO XX,,6,0
 OXXOO X ,6,0 8,
 OXXO OXX,,5,0
 OXXO OX ,,0 5 8,
 OXXO  XO,,0,5 6
 OXXO  X ,,6 8,0 5
 OXXOO  X,,7,0 6
 OXXO O X,5,7,0
 OXXO   X,7,5,0 6
 OXXO    ,,7,0 5 6 8
 OXXXOOXO,,0,
 OXXXOOX ,,0 8,
 OXXXOOOX,0,,
 OXXXOO X,,0,7
 OXXXOO  ,,0 7 8,
 OXXXO OX,,,0 6
 OXXXO O ,0 6 8,,
 OXXXO XO,,6,0
 OXXXO  O,6,0 7,
 OXXXO   ,,6,0 7 8
 OXX OXOX,4,,0
 OXX OXO ,0 4,,8
 OXX OXXO,,,0 4
 OXX OX O,0 4 7,,
 OXX OX  ,,,0 4 7 8
 OXX OOXX,,0 4,
 OXX OOX ,,0 4 8,
 OXX O XO,6,0 4,
 OXX O X ,,6,0 4 8
 OXX OO X,,0 4 7,
 OXX O OX,4,,0 6
 OXX O  X,,4 6,0 7
 OXX O   ,6,0 4 7 8,
 OXXX OOX,,,0 5
 OXXX OO ,5 8,,0
 OXXX OXO,,5,0
 OXXX O O,5,7,0
 OXXX O  ,,5,0 7 8
 OXX XOO ,4 8,,0
 OXX XOXO,,4,0
 OXX XO O,4,7,0
 OXX XO  ,,,0 4 7 8
 OXX  OXO,,0 4 5,
 OXX  OX ,,4 5 8,0
 OXX  OOX,4 5,,0
 OXX  O X,,5,0 4 7
 OXX  O  ,5,4 7 8,0
 OXXX  OO,5 6,,0
 OXXX  O ,,,0 5 6 8
 OXX XXOO,4,,0
 OXX X OO,4,,0 6
 OXX X O ,4,,0 6 8
 OXX  XOO,0 4,,5
 OXX  XO ,4,,0 5 8
 OXX   OX,4,,0 5 6
 OXX   O ,4,,0 5 6 8
 OXXX   O,,,0 5 6 7
 OXX X  O,4,,0 6 7
 OXX  X O,,,0 4 5 7
 OXX   XO,,4 6,0 5
 OXX    O,4 6,0 7,5
 OXX     ,,4,0 5 6 7 8
 OXOXXOXO,,0,
 OXOXXOX ,0,8,
 OXOXXO  ,8,0,7
 OXOXX O ,0 6 8,,
 OXOXX XO,,6,0
 OXOXX  O,6,0 7,
 OXOXX   ,,,0 6 7 8
 OXOXOOXX,0,,
 OXOXO XX,,,0 6
 OXOXO X ,0 6 8,,
 OXOX OXX,0,,5
 OXOX OX ,,0,5 8
 OXOX  XO,6,0 5,
 OXOX  X ,,6,0 5 8
 OXOXO  X,0 6 7,,
 OXOX O X,0 5,,7
 OXOX  OX,0 5 6,,
 OXOX   X,,,0 5 6 7
 OXOX    ,0 5 6 8,7,
 OX XOOXX,,0,3
 OX XOOX ,,0 3 8,
 OX XO XO,6,0 3,
 OX XO X ,,6,0 3 8
 OX XOO X,0,3 7,
 OX XO OX,0 3 6,,
 OX XO  X,,,0 3 6 7
 OX XO   ,0 6 8,3 7,
 OX XXOO ,3 8,,0
 OX XXOXO,,3,0
 OX XXO O,3,7,0
 OX XXO  ,,,0 3 7 8
 OX X OXO,,0 3 5,
 OX X OX ,,0 3 5 8,
 OX X OOX,0 3 5,,
 OX X O X,,,0 3 5 7
 OX X O  ,5 8,0 3 7,
 OX XX OO,3 6,,0
 OX XX O ,,,0 3 6 8
 OX X  OX,,,0 3 5 6
 OX X  O ,0 3 5 6 8,,
 OX XX  O,,,0 3 6 7
 OX X  XO,,6,0 3 5
 OX X   O,3 5 6,0 7,
 OX X    ,,,0 3 5 6 7 8
 OXOOXXXO,,0,
 OXOOXXX ,,8,0
 OXOOXX  ,8,7,0
 OXO XXO ,4 8,,0
 OXO XXXO,,4,0
 OXO XX O,4,0 7,
 OXO XX  ,,,0 4 7 8
 OXOOX X ,8,0 6,
 OXO XOX ,8,0,4
 OXO X XO,,0 4 6,
 OXO X X ,,8,0 4 6
 OXO X   ,4 6 8,0 7,
 OX OXXXO,0,3,
 OX OXX O,,,0 3 7
 OX OXX  ,7 8,,0 3
 OX OXOX ,8,0 3,
 OX OX XO,,0,3 6
 OX OX X ,,8,0 3 6
 OX OX   ,8,7,0 3 6
 OX  XOXO,,0 3 4,
 OX  XOX ,,8,0 3 4
 OX  XO  ,3 4 8,0 7,
 OX  XXOO,4,,0 3
 OX  XXO ,4,,0 3 8
 OX  X O ,4 8,,0 3 6
 OX  XX O,4,,0 3 7
 OX  X XO,,3 4 6,0
 OX  X  O,4,7,0 3 6
 OX  X   ,,,0 3 4 6 7 8
 OXOO XX ,8,5,0
 OXO OXX ,4 8,,0
 OXO  XXO,4,0 5,
 OXO  XX ,,,0 4 5 8
 OXOO X X,5 7,,0
 OXO OX X,4 7,,0
 OXO  XOX,4 5,,0
 OXO  X X,,,0 4 5 7
 OXO  X  ,4 5 7 8,,0
 OX OOXX ,3 8,,0
 OX O XXO,,0,3 5
 OX O XX ,,8,0 3 5
 OX OOX X,7,,0 3
 OX O X X,7,,0 3 5
 OX O X  ,,7,0 3 5 8
 OX  OXXO,0 3 4,,
 OX  OXX ,,,0 3 4 8
 OX  OXOX,4,,0 3
 OX  OX X,,,0 3 4 7
 OX  OX  ,0 3 4 7 8,,
 OX   XOX,4,,0 3 5
 OX   XO ,4,,0 3 5 8
 OX   XXO,,4,0 3 5
 OX   X O,0 3 4,7,5
 OX   X  ,,4,0 3 5 7 8
 OXOO  XX,5 6,,0
 OXO O XX,4 6,,0
 OXO  OXX,0 5,,4
 OXO   XX,,,0 4 5 6
 OXO   X ,6 8,0 4 5,
 OX OO XX,6,3,0
 OX O OXX,5,0 3,
 OX O  XX,,,0 3 5 6
 OX O  X ,8,0 3 5 6,
 OX  OOXX,,0 3 4,
 OX  O XX,,6,0 3 4
 OX  O X ,6,0 3 4 8,
 OX   OXX,,5,0 3 4
 OX   OX ,,0 3 4 5 8,
 OX    XO,,0 3 4 5 6,
 OX    X ,,6 8,0 3 4 5
 OXO    X,0 4 5 6 7,,
 OX O   X,5 7,,0 3 6
 OX  O  X,4 6,3 7,0
 OX   O X,0 4 5,3 7,
 OX    OX,4 5,,0 3 6
 OX     X,,,0 3 4 5 6 7
 OX      ,4 5 8,0 3 6 7,
  XOXOOXX,0,,1
  XOXOOX ,0 1,,8
  XOXO XO,0 1 6,,
  XOXO X ,,,0 1 6 8
  XOXOO X,0,,1 7
  XOXO OX,0 1 6,,
  XOXO  X,,,0 1 6 7
  XOXO   ,0 1 6 7 8,,
  XOXXOO ,8,,0 1
  XOXXOXO,0,1,
  XOXXO O,,,0 1 7
  XOXXO  ,0 8,,1 7
  XOX OXO,1,0,5
  XOX OX ,0,1,5 8
  XOX OOX,0 5,,1
  XOX O X,0,,1 5 7
  XOX O  ,0,,1 5 7 8
  XOXX OO,6,,0 1
  XOXX O ,,,0 1 6 8
  XOX  OX,,,0 1 5 6
  XOX  O ,0 1 5 6 8,,
  XOXX  O,6,,0 1 7
  XOX  XO,,,0 1 5 6
  XOX   O,0 1 6 7,,5
  XOX    ,,,0 1 5 6 7 8
  XOOXXO ,1 8,,0
  XOOXXXO,0,1,
  XOOXX O,,0,1 7
  XOOXX  ,,8,0 1 7
  XOOXOX ,0 8,,1
  XOOX XO,,0,1 6
  XOOX X ,,8,0 1 6
  XOOX   ,0 1 8,6 7,
  XO XOXO,,0,1 4
  XO XOX ,0,8,1 4
  XO XO  ,0 8,,1 4 7
  XO XXOO,0 1 4,,
  XO XXO ,,,0 1 4 8
  XO X O ,0 1 4 6 8,,
  XO XX O,,4,0 1 7
  XO X XO,0,1 4 6,
  XO X  O,,0 6,1 4 7
  XO X   ,,8,0 1 4 6 7
  XOO XXO,,,0 1 5
  XOO XX ,5 8,,0 1
  XOO XOX,5,,0 1
  XOO X X,5,,0 1 7
  XOO X  ,,5,0 1 7 8
  XO OXXO,4,,0 1
  XO OXX ,4,,0 1 8
  XO OXOX,4,,0 1
  XO OX X,4,,0 1 7
  XO OX  ,4,,0 1 7 8
  XO  XOX,,,0 1 4 5
  XO  XO ,0 1 4 5 8,,
  XO  XXO,4,,0 1 5
  XO  X O,0 1 4,5,7
  XO  X  ,,4,0 1 5 7 8
  XOO OXX,5,,0 1
  XOO  XX,5,,0 1 6
  XOO  X ,,5,0 1 6 8
  XO OOXX,,,0 1 4
  XO O XX,4 6,,0 1
  XO O X ,4,,0 1 6 8
  XO  OXX,0 5,,1 4
  XO  OX ,0,,1 4 5 8
  XO   XO,1 4,0,5 6
  XO   X ,,4,0 1 5 6 8
  XOO   X,5,,0 1 6 7
  XO O  X,4,,0 1 6 7
  XO  O X,0 5,,1 4 7
  XO   OX,0 1 4 5 6,,
  XO    X,,,0 1 4 5 6 7
  XO     ,0 4 8,5 6 7,1
  XXOOXOX,1,0,
  XXOOXO ,0,1,8
  XXOOXXO,0,,1
  XXOOX O,0,,1 7
  XXOOX  ,,0,1 7 8
  XXOOOXX,,0 1,
  XXOOOX ,,0 1 8,
  XXOO XO,0,,1 6
  XXOO X ,,0 6,1 8
  XXOOO X,,0 1 7,
  XXOO OX,,1,0 6
  XXOO  X,,0 1 6 7,
  XXOO   ,0,1 6 7 8,
  XXOXOO ,8,,0 1
  XXOXOXO,0,1,
  XXOXO O,,,0 1 7
  XXOXO  ,8,,0 1 7
  XXO OXO,,0,1 5
  XXO OX ,,0 1 5 8,
  XXO OOX,1 5,,0
  XXO O X,,5,0 1 7
  XXO O  ,,0 1 7 8,5
  XXOXXOO,0 1,,
  XXOX OO,,,0 1 6
  XXOX O ,1 8,,0 6
  XXO XOO,0,,1 5
  XXO XO ,0 1,,5 8
  XXO  OX,1,5,0 6
  XXO  O ,,1,0 5 6 8
  XXOX  O,0 1 6 7,,
  XXO X O,0,,1 5 7
  XXO  XO,0,1 6,5
  XXO   O,0,,1 5 6 7
  XXO    ,,0 1 6 7,5 8
  X OXOXO,,0,1 3
  X OXOX ,,8,0 1 3
  X OXO  ,0 1 8,7,3
  X OXXOO,,,0 1 3
  X OXXO ,1 8,,0 3
  X OX O ,1 8,,0 3 6
  X OXX O,0 1 7,3,
  X OX XO,0,1 3 6,
  X OX  O,,0,1 3 6 7
  X OX   ,,8,0 1 3 6 7
  X OOXXO,,,0 1 3
  X OOXX ,3 8,,0 1
  X OOXOX,,,0 1 3
  X OOX X,3 7,,0 1
  X OOX  ,,3,0 1 7 8
  X O XOX,1 5,,0 3
  X O XO ,,1,0 3 5 8
  X O XXO,0 3 5,1,
  X O X O,0,,1 3 5 7
  X O X  ,,1 3 5 7,0 8
  X OOOXX,,3,0 1
  X OO XX,3,6,0 1
  X OO X ,,3,0 1 6 8
  X O OXX,,5,0 1 3
  X O OX ,,0 3 5 8,1
  X O  XO,,0,1 3 5 6
  X O  X ,,3 5 6 8,0 1
  X OO  X,,3,0 1 6 7
  X O O X,0 1 5,3 7,
  X O  OX,1 5,,0 3 6
  X O   X,,5,0 1 3 6 7
  X O    ,,0 1 3 5 6 7 8,
  XXXOOOX,,0,1
  XXXOOO ,,8,0 1
  XXXOOXO,,1,0
  XXXOO O,,7,0 1
  XXXOO  ,,0 1 7 8,
  XX OOXO,1,0 4,
  XX OOX ,,0 1 4,8
  XX OOOX,0,1 4,
  XX OO X,,0 1 4,7
  XX OO  ,,0 1 4 7 8,
  XXXO OO,6,,0 1
  XXXO O ,,6,0 1 8
  XX OXOO,0 1 4,,
  XX OXO ,,,0 1 4 8
  XX O OX,,0 4,1 6
  XX O O ,0 6,1 4 8,
  XXXO  O,,6,0 1 7
  XX OX O,,,0 1 4 7
  XX O XO,,,0 1 4 6
  XX O  O,0 1 6 7,4,
  XX O   ,,0 6,1 4 7 8
  X XOOXO,1,0 3,
  X XOOX ,,1,0 3 8
  X XOOOX,0,1 3,
  X XOO X,,0,1 3 7
  X XOO  ,0 1,3 7 8,
  X XO OX,,,0 1 3 6
  X XO O ,0 1 6 8,3,
  X XO XO,,,0 1 3 6
  X XO  O,0 1 6 7,3,
  X XO   ,,,0 1 3 6 7 8
  X  OXOX,4,,0 1 3
  X  OXO ,0 1 3 4,,8
  X  OXXO,4,,0 1 3
  X  OX O,0 1 3 4,,7
  X  OX  ,,4,0 1 3 7 8
  X  OOXX,3,0 1 4,
  X  OOX ,1,0 3 4,8
  X  O XO,0 1 3 4,,6
  X  O X ,,4,0 1 3 6 8
  X  OO X,0,1 3 4,7
  X  O OX,0 4,1 3,6
  X  O  X,,4,0 1 3 6 7
  X  O   ,0 1 4,3 6 7 8,
  XXX OO ,8,5,0 1
  XX XOO ,8,,0 1 4
  XX  OOX,,,0 1 4 5
  XX  OO ,8,,0 1 4 5
  XXX O O,7,5,0 1
  XX XO O,4 7,,0 1
  XX  OXO,,1 4,0 5
  XX  O O,,7,0 1 4 5
  XX  O  ,,4 5 8,0 1 7
  X XXOO ,8,,0 1 3
  X X OOX,,,0 1 3 5
  X X OO ,8,,0 1 3 5
  X XXO O,3 7,,0 1
  X X OXO,,1,0 3 5
  X X O O,,7,0 1 3 5
  X X O  ,,0 8,1 3 5 7
  X  XOO ,8,,0 1 3 4
  X  XOXO,0,1 3 4,
  X  XO O,,,0 1 3 4 7
  X  XO  ,8,,0 1 3 4 7
  X   OXO,1,0 3 4,5
  X   OX ,,0 1 4,3 5 8
  X   OOX,0 1 3 4 5,,
  X   O X,,,0 1 3 4 5 7
  X   O  ,0 8,3 4 7,1 5
  XXX  OO,6,,0 1 5
  XX X OO,4 6,,0 1
  XX  XOO,,,0 1 4 5
  XX   OO,6,,0 1 4 5
  XX   O ,,4,0 1 5 6 8
  X XX OO,6,,0 1 3
  X X  OO,6,,0 1 3 5
  X X  O ,,,0 1 3 5 6 8
  X  XXOO,4,,0 1 3
  X  X OO,,,0 1 3 4 6
  X  X O ,8,,0 1 3 4 6
  X   XOO,0 1 3 4,,5
  X   XO ,,4,0 1 3 5 8
  X    OX,,,0 1 3 4 5 6
  X    O ,0 4 8,1 3 6,5
  XX    O,,6,0 1 4 5 7
  X X   O,,6,0 1 3 5 7
  X  X  O,6 7,3 4,0 1
  X   X O,,,0 1 3 4 5 7
  X    XO,,1 4,0 3 5 6
  X     O,0 1 6,3 4 7,5
  X      ,,4,0 1 3 5 6 7 8
OO XXOXXO,2,,
OO XXOXX ,2,,8
OO XXOXOX,2,,
OO XXOX X,2,,7
OO XXOX  ,2,,7 8
OO XX XOX,2,,5
OO XX XO ,2 5,,8
OO XX XXO,2,,5
OO XX X O,2 5,,7
OO XX X  ,2,,5 7 8
OO XXOOXX,,2,
OO XXO XX,2,6,
OO XXO X ,,2,6 8
OO XX OXX,2,5,
OO XX OX ,5,2,8
OO XX  XO,2 5,,6
OO XX  X ,2,5,6 8
OO XXO  X,,2,6 7
OO XX O X,5,2,7
OO XX  OX,2 5,,6
OO XX   X,2,5,6 7
OO XX    ,2 5,,6 7 8
O OXXOXX ,1 8,,
O OXXOXOX,,1,
O OXXOX X,1,7,
O OXXOX  ,,,1 7 8
O OXX XOX,1,5,
O OXX XO ,5,1,8
O OXX XXO,1 5,,
O OXX X O,5,,1 7
O OXX X  ,1 5,,7 8
O OXXOOXX,1,,
O OXXO XX,1,,6
O OXXO X ,1,,6 8
O OXX OXX,1,,5
O OXX OX ,1 5,,8
O OXX  XO,1 5,,6
O OXX  X ,1,,5 6 8
O OXXO  X,,1,6 7
O OXX O X,1 5,,7
O OXX  OX,5,1,6
O OXX   X,1,5,6 7
O OXX    ,1 5,,6 7 8
O  XXOXOX,,2,1
O  XXOXO ,2,1 8,
O  XXOXXO,2,,1
O  XXOX O,2,,1 7
O  XXOX  ,2,,1 7 8
O  XXOOXX,,1,2
O  XXOOX ,1,2 8,
O  XXO XO,1 2,,6
O  XXO X ,,1,2 6 8
O  XXOO X,,1 2 7,
O  XXO OX,,1 2 6,
O  XXO  X,,1 2 6 7,
O  XXO   ,,1 2 7 8,6
O  XX OXO,1 2 5,,
O  XX OX ,,,1 2 5 8
O  XX OOX,5,1 2,
O  XX O X,,5,1 2 7
O  XX O  ,1 5 7,2 8,
O  XX XOO,1 2 5,,
O  XX XO ,,,1 2 5 8
O  XX  OX,,5,1 2 6
O  XX  O ,2 5 6,1 8,
O  XX X O,,,1 2 5 7
O  XX  XO,,,1 2 5 6
O  XX   O,1 2 5 6 7,,
O  XX    ,,5,1 2 6 7 8
OO XOXXX ,2 8,,
OO XOXX X,2 7,,
OO XOXX  ,,,2 7 8
OO X XXOX,2 4,,
OO X XXO ,4,,2 8
OO X XXXO,2 4,,
OO X XX O,4,,2 7
OO X XX  ,2 4,,7 8
OO XOXOXX,2,,
OO XOX XX,2,,6
OO XOX X ,,,2 6 8
OO X XOXX,2,,4
OO X XOX ,2 4,,8
OO X X XO,4,,2 6
OO X X X ,2 4,,6 8
OO XOX  X,2,,6 7
OO X XO X,2 4,,7
OO X X OX,2 4,,6
OO X X  X,2,,4 6 7
OO X X   ,2 4,,6 7 8
O OXOXXX ,1 8,,
O OXOXXOX,,1,
O OXOXX X,1,7,
O OXOXX  ,,,1 7 8
O OX XXOX,1,4,
O OX XXO ,4,1,8
O OX XXXO,1 4,,
O OX XX O,4,,1 7
O OX XX  ,1 4,,7 8
O OXOX XX,1 6,,
O OXOX X ,,,1 6 8
O OX XOXX,1 4,,
O OX XOX ,4,,1 8
O OX X XO,4,,1 6
O OX X X ,1 4,,6 8
O OXOX  X,,,1 6 7
O OX XO X,4,,1 7
O OX X OX,4,1,6
O OX X  X,1 4,,6 7
O OX X   ,4,,1 6 7 8
O  XOXXOX,1,2,
O  XOXXO ,,,1 2 8
O  XOXX  ,1 2 7 8,,
O  XOXOXX,2,,1
O  XOXOX ,,,1 2 8
O  XOX X ,1 2 6 8,,
O  XOXO X,2,,1 7
O  XOX OX,2,1,6
O  XOX  X,2,,1 6 7
O  XOX   ,,,1 2 6 7 8
O  X XOXO,4,,1 2
O  X XOX ,4,,1 2 8
O  X XOOX,1 2 4,,
O  X XO X,,,1 2 4 7
O  X XO  ,2 4 8,,1 7
O  X XXOO,4,,1 2
O  X XXO ,4,,1 2 8
O  X X OX,,,1 2 4 6
O  X X O ,2 4 8,1,6
O  X XX O,4,,1 2 7
O  X X XO,4,,1 2 6
